id,titulo,disciplina,ano,status,id_anterior,titulo_anterior,disciplina_anterior,ano_anterior,status_anterior
24,Multiplicação,Matemática,3,1,20244,Multiplicação - organização retangular,Matemática,2,1
25,Unidades de medida - metro e quilograma,Matemática,3,1,24,Multiplicação,Matemática,3,1
27,Porcentagem,Matemática,5,1,20362,Multiplicação e divisão de números racionais,Matemática,5,1
27,Porcentagem,Matemática,5,1,20269,Divisão exata e não exata,Matemática,4,1
27,Porcentagem,Matemática,5,1,20095,Multiplicação com dois algarismos,Matemática,4,1
28,Fração de uma quantidade,Matemática,5,1,20152,Frações Unitárias,Matemática,4,1
30,Palavras com F/V - T/D - P/B - C/G,L. Portuguesa,4,1,10032,Uso de P e B,L. Portuguesa,3,1
31,Sílabas tônica e átona,L. Portuguesa,3,1,20231,Separação silábica,L. Portuguesa,3,1
31,Sílabas tônica e átona,L. Portuguesa,3,1,10025,Estrutura das sílabas,L. Portuguesa,2,1
34,Divisão - Problemas,Matemática,4,1,20243,Divisão: Situações problemas com agrupamentos,Matemática,3,1
35,Ordens e classes,Matemática,3,1,52,Números por extenso e comparações,Matemática,3,1
35,Ordens e classes,Matemática,3,1,68,Valor absoluto e relativo,Matemática,3,1
35,Ordens e classes,Matemática,3,1,10027,Sistema de numeração decimal,Matemática,2,1
35,Ordens e classes,Matemática,3,1,67,Decomposição numérica - até 100,Matemática,2,1
40,Subtração,Matemática,1,1,50,Unidade e dezena,Matemática,1,1
41,Números naturais - 0 a 10,Matemática,1,1,20,Números no cotidiano,Matemática,1,1
42,Números pares e ímpares,Matemática,1,1,17,Números naturais - 0 a 50,Matemática,1,1
45,Classificação de sílabas quanto à tonicidade,L. Portuguesa,3,1,31,Sílabas tônica e átona,L. Portuguesa,3,1
45,Classificação de sílabas quanto à tonicidade,L. Portuguesa,3,1,20231,Separação silábica,L. Portuguesa,3,1
45,Classificação de sílabas quanto à tonicidade,L. Portuguesa,3,1,10025,Estrutura das sílabas,L. Portuguesa,2,1
46,Substantivos primitivos e derivados,L. Portuguesa,4,1,20219,Artigos,L. Portuguesa,4,1
50,Unidade e dezena,Matemática,1,1,17,Números naturais - 0 a 50,Matemática,1,1
